ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,",Bogota , colombia",dir,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos,CausaConductorIDesc,CausaConductorIIDesc
Choque,Vehiculo, , , , ,0,0,DG 2-KR 79C 48,",Bogota,Colombia","DG 2-KR 79C 48,Bogota,Colombia",DG,2, , ,KR,79,C, ,KENNEDY,12/31/1899 02:00:00 PM,Interseccion,Normal,0,0, ,NO RESPETAR PRELACIÓN
Choque,Vehiculo, , , , ,0,0,CL 170-KR 91 02,",Bogota,Colombia","CL 170-KR 91 02,Bogota,Colombia",CL,170, , ,KR,91, , ,SUBA,12/31/1899 07:15:00 PM,Tramo de Via,Normal,0,0,ARRANCAR SIN PRECAUCION, 
Choque,Vehiculo, , , , ,0,0,KR 88C-CL 59C 02,",Bogota,Colombia","KR 88C-CL 59C 02,Bogota,Colombia",KR,88,C, ,CL,59,C, ,BOSA,12/31/1899 02:20:00 PM,Interseccion,Normal,0,0, ,NO UTILIZAR - GIRAR BRUSCAMENTE
Choque,Vehiculo, , , , ,0,0,CL 67-KR 13 02,",Bogota,Colombia","CL 67-KR 13 02,Bogota,Colombia",CL,67, , ,KR,13, , ,CHAPINERO,12/31/1899 08:40:00 AM,Tramo de Via,Viento,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,AC 6-KR 60 02,",Bogota,Colombia","AC 6-KR 60 02,Bogota,Colombia",AC,6, , ,KR,60, , ,PUENTE ARANDA,12/31/1899 06:30:00 PM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,AK 68-CL 13 02,",Bogota,Colombia","AK 68-CL 13 02,Bogota,Colombia",AK,68, , ,CL,13, , ,PUENTE ARANDA,12/31/1899 10:15:00 AM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,KR 19-CL 93 89,",Bogota,Colombia","KR 19-CL 93 89,Bogota,Colombia",KR,19, , ,CL,93, , ,CHAPINERO,12/31/1899 07:50:00 AM,Interseccion,Normal,0,0,APROVISIONAMIENTO INDEBIDO, 
Choque,Vehiculo, , , , ,0,0,KR 70-CL 49 02,",Bogota,Colombia","KR 70-CL 49 02,Bogota,Colombia",KR,70, , ,CL,49, , ,ENGATIVA,12/31/1899 08:00:00 AM,Interseccion,Normal,0,0,DESOBEDECER SEÑALES, 
Atropello, , , , , ,0,0,CL 26-TR 93 02,",Bogota,Colombia","CL 26-TR 93 02,Bogota,Colombia",CL,26, , ,TR,93, , ,ENGATIVA,12/31/1899 01:30:00 AM,Tramo de Via,Lluvia,0,1, , 
Choque,Vehiculo, , , , ,0,0,CL 12-KR 36 02,",Bogota,Colombia","CL 12-KR 36 02,Bogota,Colombia",CL,12, , ,KR,36, , ,PUENTE ARANDA,12/31/1899 03:30:00 PM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,DG 38A-KR 31 S 02,",Bogota,Colombia","DG 38A-KR 31 S 02,Bogota,Colombia",DG,38,A,S,KR,31, , ,RAFAEL URIBE URIBE,12/31/1899 02:20:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,AC 23-KR 33 02,",Bogota,Colombia","AC 23-KR 33 02,Bogota,Colombia",AC,23, , ,KR,33, , ,TEUSAQUILLO,12/31/1899 06:40:00 PM,Tramo de Via,Normal,0,0,EMBRIAGUEZ O DROGA, 
Choque,Objeto Fijo,2,Poste, , ,0,0,CL 63-KR 97A 02,",Bogota,Colombia","CL 63-KR 97A 02,Bogota,Colombia",CL,63, , ,KR,97,A, ,ENGATIVA,12/31/1899 03:00:00 AM,Tramo de Via,Normal,0,0, , 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA BOYACA-CL 122 02,",Bogota,Colombia","AV AVENIDA BOYACA-CL 122 02,Bogota,Colombia",AV,AVENIDA BOYACA, , ,CL,122, , ,SUBA,12/31/1899 06:50:00 PM,Tramo de Via,Normal,0,0, ,NO MANTENER DISTANCIA DE SEGURIDAD
Choque,Vehiculo, , , , ,0,0,KR 7-CL 27 02,",Bogota,Colombia","KR 7-CL 27 02,Bogota,Colombia",KR,7, , ,CL,27, , ,SANTA FE,12/31/1899 07:30:00 AM,Tramo de Via,Lluvia,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Choque,Vehiculo, , , , ,0,0,CL 90-KR 9A 02,",Bogota,Colombia","CL 90-KR 9A 02,Bogota,Colombia",CL,90, , ,KR,9,A, ,CHAPINERO,12/31/1899 12:32:00 PM,Interseccion,Normal,0,1,DESOBEDECER SEÑALES, 
